room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
79704,429606,Private room,Southwark,Surrey Docks,6,5.0,2,1.0,105.0,3,51.498291,-0.034185,2015-01-18 02:21:14.500
79741,191154,Entire home/apt,Greenwich,Woolwich Riverside,30,4.5,4,1.0,122.0,3,51.49082,0.071249,2015-01-18 04:53:54.329
80123,432648,Entire home/apt,Wandsworth,Balham,52,5.0,2,1.0,159.0,2,51.453305,-0.156464,2015-01-18 13:51:22.976
80433,427750,Private room,Lambeth,Thurlow Park,0,,1,1.0,75.0,1,51.436659,-0.09076,2015-01-17 23:31:36.262
80441,416812,Entire home/apt,Lambeth,Bishop's,37,5.0,2,1.0,187.0,1,51.494936,-0.120036,2015-01-18 00:04:13.820
80454,427750,Private room,Lambeth,Gipsy Hill,0,,1,1.0,75.0,1,51.435672,-0.090997,2015-01-18 01:00:32.798
81008,426167,Entire home/apt,Greenwich,Peninsula,35,4.5,9,4.0,374.0,1,51.487176,0.025899,2015-01-18 04:00:52.854
81015,269609,Private room,Croydon,Bensham Manor,0,,2,1.0,65.0,1,51.400921,-0.104518,2015-01-18 04:28:30.037
81518,442308,Entire home/apt,Hackney,Haggerston,32,5.0,6,1.0,252.0,2,51.537442,-0.076188,2015-01-18 03:52:21.596
81211,439880,Entire home/apt,Camden,Belsize,2,4.5,4,1.0,234.0,1,51.548384,-0.163436,2015-01-18 00:12:49.177
81239,423650,Entire home/apt,Hackney,London Fields,7,5.0,6,3.0,185.0,3,51.535845,-0.061781,2015-01-18 02:16:24.219
81305,440729,Entire home/apt,Camden,Bloomsbury,22,5.0,4,2.0,374.0,5,51.523577,-0.141676,2015-01-18 06:50:19.926
81399,441457,Private room,Lambeth,Stockwell,0,,1,1.0,131.0,1,51.479481,-0.12148,2015-01-18 13:34:14.730
81410,441494,Entire home/apt,Westminster,Marylebone High Street,66,5.0,6,2.0,637.0,4,51.521234,-0.140329,2015-01-17 17:06:10.681
81449,441736,Entire home/apt,Tower Hamlets,Whitechapel,95,4.5,3,1.0,216.0,2,51.511627,-0.066802,2015-01-17 23:01:04.929
81473,441881,Private room,Bromley,Crystal Palace,34,4.5,2,1.0,75.0,2,51.416429,-0.076728,2015-01-18 00:38:22.498
81594,442801,Entire home/apt,Wandsworth,Southfields,14,5.0,4,1.0,131.0,2,51.446463,-0.200504,2015-01-18 09:04:30.955
81607,442885,Entire home/apt,Hammersmith and Fulham,Palace Riverside,9,4.5,7,4.0,411.0,5,51.478981,-0.222254,2015-01-18 09:59:58.687
81611,226889,Entire home/apt,Wandsworth,Southfields,0,,6,4.0,355.0,3,51.448153,-0.20461,2015-01-18 10:17:44.045
81635,443041,Private room,Islington,Clerkenwell,2,5.0,2,1.0,185.0,3,51.528427,-0.111608,2015-01-18 12:02:04.937
81936,445223,Private room,Southwark,Livesey,5,5.0,2,1.0,92.0,2,51.47547,-0.06065,2015-01-17 21:11:55.159
82272,447486,Private room,Southwark,Newington,96,5.0,2,1.0,90.0,1,51.490887,-0.098788,2015-01-18 02:55:26.195
82399,448365,Private room,Lewisham,Evelyn,42,4.5,8,1.0,93.0,1,51.486324,-0.040908,2015-01-18 11:45:27.250
82527,426167,Private room,Greenwich,Peninsula,17,5.0,4,1.0,122.0,1,51.486491,0.025522,2015-01-18 02:51:11.619
82604,449559,Entire home/apt,Lambeth,Bishop's,2,3.5,3,1.0,166.0,5,51.494936,-0.118628,2015-01-18 08:07:54.116
83017,452088,Entire home/apt,Westminster,Bryanston and Dorset Square,195,5.0,4,2.0,187.0,3,51.522083,-0.163972,2015-01-18 01:14:19.437
83181,404447,Entire home/apt,Westminster,West End,59,4.0,5,2.0,206.0,2,51.512861,-0.131483,2015-01-18 12:48:24.005
83308,454121,Entire home/apt,Camden,Kilburn,16,5.0,2,1.0,225.0,2,51.5385,-0.192547,2015-01-18 03:44:49.162
83447,454729,Entire home/apt,Westminster,West End,86,4.0,2,1.0,178.0,3,51.512543,-0.13259,2015-01-18 13:34:29.541
83462,454672,Private room,Tower Hamlets,Poplar,20,5.0,2,1.0,112.0,2,51.507878,-0.009071,2015-01-17 20:28:51.905
84193,404447,Entire home/apt,Westminster,St. James's,63,4.0,4,1.0,243.0,2,51.50991,-0.13133,2015-01-18 11:52:55.795
84201,460186,Private room,Newham,Beckton,0,,2,1.0,247.0,1,51.516165,0.050467,2015-01-18 12:29:29.223
84223,460272,Private room,Southwark,Newington,101,5.0,2,1.0,103.0,1,51.485791,-0.107117,2015-01-18 14:10:08.343
84532,462165,Private room,Hackney,Springfield,2,5.0,2,1.0,94.0,1,51.572949,-0.060753,2015-01-17 23:45:25.496
84543,422907,Private room,Tower Hamlets,St. Dunstan's,54,5.0,2,1.0,129.0,2,51.518695,-0.037561,2015-01-18 00:29:52.653
84640,462651,Private room,Haringey,Hornsey,0,,1,1.0,93.0,1,51.589369,-0.122738,2015-01-18 07:20:02.531
84665,456284,Entire home/apt,Camden,Bloomsbury,4,4.5,2,1.0,241.0,4,51.521403,-0.136727,2015-01-18 09:01:18.728
85131,465992,Entire home/apt,Wandsworth,St. Mary's Park,53,5.0,4,2.0,346.0,4,51.478725,-0.167806,2015-01-18 05:50:47.146
85139,466052,Private room,Lambeth,Thurlow Park,30,5.0,8,1.0,71.0,5,51.43856,-0.105933,2015-01-18 06:25:19.043
85159,466142,Entire home/apt,Tower Hamlets,St. Peter's,1,,4,2.0,925.0,2,51.526307,-0.05812,2015-01-18 07:48:03.604
85191,466353,Private room,Lambeth,Prince's,157,5.0,1,1.0,103.0,1,51.48968,-0.116369,2015-01-18 10:00:15.632
